Title,DiscMand,MajorSpendingCategory,Agency,Bureau,Func,SubFunc,O2016
"Fees, Aviation Security, Deficit Reduction",Mandatory,Offsetting receipts,Department of Homeland Security                                 ,Transportation Security Administration                          ,400,402,"-1,250"
Major research equipment and facilities construction,Discretionary,Nondefense,National Science Foundation                                     ,National Science Foundation,250,251,193
Management and Administration                                   ,Discretionary,Nondefense,Department of Homeland Security                                 ,National Protection and Programs Directorate                    ,450,453,61
Management and administration                                   ,Discretionary,Nondefense,Department of Homeland Security                                 ,Domestic Nuclear Detection Office,750,751,38
Management of lands and resources,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Land Management,300,302,993
Maritime guaranteed loan (title XI) program account,Mandatory,Other Spending,Department of Transportation                                    ,Maritime Administration,400,403,108
Management of national forest lands for subsistence uses,Discretionary,Nondefense,Department of Agriculture                                       ,Forest Service,300,302,3
Manufactured housing fees trust fund,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Housing Programs,370,376,10
Maritime guaranteed loan (title XI) program account,Discretionary,Nondefense,Department of Transportation                                    ,Maritime Administration,400,403,8
Marketing services,Discretionary,Nondefense,Department of Agriculture                                       ,Agricultural Marketing Service,350,352,71
"Miscellaneous Trust Funds, Maritime Administration              ",Mandatory,Other Spending,Department of Transportation                                    ,Maritime Administration,400,403,1
Recreation Boat Fees,Mandatory,Offsetting receipts,Department of Transportation                                    ,Department of Transportation,400,403,-18
"Gifts and Bequests, Maritime Administration",Mandatory,Offsetting receipts,Department of Transportation                                    ,Department of Transportation,400,403,-1
Retired Pay,Mandatory,Other Spending,Department of Homeland Security                                 ,United States Coast Guard,400,403,"1,603"
McGovern-Dole international food for education and child nutriti,Discretionary,Nondefense,Department of Agriculture                                       ,Foreign Agricultural Service,150,151,103
Medicaid and Chip Payment and Access Commission                 ,Discretionary,Nondefense,Legislative Branch                                              ,Legislative Branch Boards and Commissions,550,551,8
Medical and prosthetic research,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Veterans Health Administration                                  ,700,703,597
Medical Facilities,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Veterans Health Administration                                  ,700,703,"4,721"
Medical services                                                ,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Veterans Health Administration                                  ,700,703,"52,015"
Medical Support and Compliance                                  ,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Veterans Health Administration                                  ,700,703,"6,074"
U.S. Coast Guard Housing Special Fund                           ,Mandatory,Other Spending,Department of Homeland Security                                 ,United States Coast Guard,400,403,-2
Boat Safety,Mandatory,Other Spending,Department of Homeland Security                                 ,United States Coast Guard,400,403,104
Tonnage duty increases,Mandatory,Offsetting receipts,Department of Homeland Security                                 ,Department of Homeland Security,400,403,-22
"Medicare prescription drug account, Federal supplementary insura",Discretionary,Nondefense,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,570,571,293
"Medicare-eligible Retiree Health Fund Contribution, Homeland Sec",Discretionary,Nondefense,Department of Homeland Security                                 ,United States Coast Guard,400,403,169
"Medicare-eligible Retiree Health Fund Contribution, NOAA        ",Discretionary,Nondefense,Department of Commerce                                          ,National Oceanic and Atmospheric Administration,300,306,1
MENA Loan Guarantee Program Account                             ,Discretionary,Nondefense,International Assistance Programs                               ,Agency for International Development,150,151,29
Migration and refugee assistance,Discretionary,Nondefense,Department of State                                             ,Other,150,151,"3,266"
Millennium Challenge Corporation                                ,Discretionary,Nondefense,International Assistance Programs                               ,Millennium Challenge Corporation,150,151,756
Minority business development,Discretionary,Nondefense,Department of Commerce                                          ,Minority Business Development Agency,370,376,32
Minority business resource center program,Discretionary,Nondefense,Department of Transportation                                    ,Office of the Secretary,400,407,1
Next Generation 911 Implementation Grants                       ,Mandatory,Other Spending,Department of Transportation                                    ,National Highway Traffic Safety Administration,400,407,-115
Miscellaneous appropriations,Discretionary,Nondefense,Department of Transportation                                    ,Federal Highway Administration,400,401,20
Miscellaneous items,Discretionary,Nondefense,Legislative Branch                                              ,Senate,800,801,18
Miscellaneous Transportation Trust Funds                        ,Discretionary,Nondefense,Department of Transportation                                    ,Federal Highway Administration,400,401,10
Mississippi River and Tributaries                               ,Discretionary,Nondefense,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,300,301,370
Emergency preparedness grants,Mandatory,Other Spending,Department of Transportation                                    ,Pipeline and Hazardous Materials Safety Administration          ,400,407,25
"Mobile home inspection and monitoring fees, manufactured housing",Discretionary,Nondefense,Department of Housing and Urban Development                     ,Department of Housing and Urban Development,370,376,-11
Motor Carrier Safety Grants,Discretionary,Nondefense,Department of Transportation                                    ,Federal Motor Carrier Safety Administration,400,401,285
"Emergency preparedness, hazardous materials",Mandatory,Offsetting receipts,Department of Transportation                                    ,Department of Transportation,400,407,-28
"Registration,filing and permit fees,hazardous materials, transportation",Mandatory,Offsetting receipts,Department of Transportation                                    ,Department of Transportation,400,407,-1
Motor Carrier Safety Operations and Programs,Discretionary,Nondefense,Department of Transportation                                    ,Federal Motor Carrier Safety Administration,400,401,248
Multifamily housing revitalization program account              ,Discretionary,Nondefense,Department of Agriculture                                       ,Rural Housing Service,600,604,30
Rural Energy for America Program                                ,Mandatory,Other Spending,Department of Agriculture                                       ,Rural Business_Cooperative Service                              ,450,451,57
Multinational species conservation fund,Discretionary,Nondefense,Department of the Interior                                      ,United States Fish and Wildlife Service,300,302,11
Community development financial institutions fund program accoun,Mandatory,Other Spending,Department of the Treasury                                      ,Departmental Offices,450,451,4
"Capital Magnet Fund, Community Development Financial Institution",Mandatory,Other Spending,Department of the Treasury                                      ,Departmental Offices,450,451,55
"Capital Magnet Fund, Community Development Financial Institutions",Mandatory,Offsetting receipts,Department of the Treasury                                      ,Departmental Offices,450,451,-103
Mutual and self-help housing grants,Discretionary,Nondefense,Department of Agriculture                                       ,Rural Housing Service,600,604,28
National Agricultural Statistics Service,Discretionary,Nondefense,Department of Agriculture                                       ,National Agricultural Statistics Service,350,352,169
National Appeals Division                                       ,Discretionary,Nondefense,Department of Agriculture                                       ,Executive Operations,350,352,13
National Cancer Institute (Health research),Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,"4,960"
National Capital Arts and Cultural Affairs                      ,Discretionary,Nondefense,Commission of Fine Arts                                         ,Commission of Fine Arts                                         ,500,503,2
National Cemetery Administration                                ,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Departmental Administration,700,705,270
Community development loan guarantees program account,Mandatory,Other Spending,Department of Housing and Urban Development                     ,Community Planning and Development,450,451,-60
National Center for Advancing Translational Sciences,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,635
National Center for Complementary and Alternative Medicine,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,122
National center for research resources (Health research),Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,1
National Center on Minority Health and Health Disparities,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,257
Neighborhood Stabilization Program                              ,Mandatory,Other Spending,Department of Housing and Urban Development                     ,Community Planning and Development,450,451,63
National Endowment for Democracy,Discretionary,Nondefense,Department of State                                             ,Other,150,154,145
Revolving fund (liquidating programs),Mandatory,Other Spending,Department of Housing and Urban Development                     ,Community Planning and Development,450,451,0
National Eye Institute (Health research),Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,679
National Flood Insurance Fund,Discretionary,Nondefense,Department of Homeland Security                                 ,Federal Emergency Management Agency                             ,450,453,0
National forest system,Discretionary,Nondefense,Department of Agriculture                                       ,Forest Service,300,302,"1,543"
"National Heart, Lung and Blood Institute (Health research)",Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,"2,885"
Rural telephone bank program account,Mandatory,Other Spending,Department of Agriculture                                       ,Rural Utilities Service,450,452,3
National Historical Publications and Records Commission,Discretionary,Nondefense,National Archives and Records Administration                    ,National Archives and Records Administration                    ,800,804,5
"Distance learning, telemedicine, and broadband program",Mandatory,Other Spending,Department of Agriculture                                       ,Rural Utilities Service,450,452,-114
National human genome research institute,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,513
Rural cooperative development grants,Mandatory,Other Spending,Department of Agriculture                                       ,Rural Business_Cooperative Service                              ,450,452,19
National Infrastructure Investments                             ,Discretionary,Nondefense,Department of Transportation                                    ,Office of the Secretary,400,401,525
Rural Business Program Account                                  ,Mandatory,Other Spending,Department of Agriculture                                       ,Rural Business_Cooperative Service                              ,450,452,-100
National Institute for Nursing Research (Health research),Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,131
Rural Community Facilities Program Account                      ,Mandatory,Other Spending,Department of Agriculture                                       ,Rural Housing Service,450,452,99
Rural Microenterprise Investment Program Account                ,Mandatory,Other Spending,Department of Agriculture                                       ,Rural Business_Cooperative Service                              ,450,452,5
National Institute of Allergy and Infectious Diseases (Health research),Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,"4,402"
Rural water and waste disposal program account                  ,Mandatory,Other Spending,Department of Agriculture                                       ,Rural Utilities Service,450,452,-91
National Institute of Arthritis and Musculoskeletal and Skin Diseases (H,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,522
National Institute of Biomedical Imaging and Bioengineering,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,324
Energy Assistance Payments                                      ,Mandatory,Other Spending,Department of Agriculture                                       ,Rural Business_Cooperative Service                              ,450,452,17
Rural economic development grants,Mandatory,Other Spending,Department of Agriculture                                       ,Rural Business_Cooperative Service                              ,450,452,-170
Biorefinery Assistance Program Account                          ,Mandatory,Other Spending,Department of Agriculture                                       ,Rural Business_Cooperative Service                              ,450,452,60
Rural economic development loans program account,Mandatory,Other Spending,Department of Agriculture                                       ,Rural Business_Cooperative Service                              ,450,452,-4
Rural development insurance fund liquidating account,Mandatory,Other Spending,Department of Agriculture                                       ,Rural Utilities Service,450,452,-130
Rural development loan fund liquidating account,Mandatory,Other Spending,Department of Agriculture                                       ,Rural Business_Cooperative Service                              ,450,452,-2
National Institute of Child Health and Human Development (Health researc,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,"1,315"
National Institute of Dental Research (Health research),Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,411
National Institute of Diabetes and Digestive and Kidney Diseases (Health,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,"1,769"
White Earth settlement fund,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Indian Affairs and Bureau of Indian Education         ,450,452,3
National Institute of Environmental Health Sciences (Health research),Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,748
National Institute of General Medical Sciences (Health research),Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,"1,614"
National Institute of Mental Health,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,"1,453"
National Institute of Neurological Disorders and Stroke (Health research,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,"1,602"
Indian guaranteed loan program account,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Indian Affairs and Bureau of Indian Education         ,450,452,8
Revolving fund for loans liquidating account,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Indian Affairs and Bureau of Indian Education         ,450,452,-1
Operation and maintenance of quarters,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Indian Affairs and Bureau of Indian Education         ,450,452,5
Tribal special fund,Mandatory,Other Spending,Department of the Interior                                      ,Office of the Special Trustee for American Indians              ,450,452,138
Trust Land Consolidation Fund                                   ,Mandatory,Other Spending,Department of the Interior                                      ,Departmental Offices                                            ,450,452,350
Tribal trust fund,Mandatory,Other Spending,Department of the Interior                                      ,Office of the Special Trustee for American Indians              ,450,452,21
Miscellaneous permanent appropriations,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Indian Affairs and Bureau of Indian Education         ,450,452,100
"Indian Tribal Special Fund, fed fund payments and rtrn of principal",Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,450,452,-146
"Tribal Special Fund, Proprietary Receipts from Public",Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,450,452,-17
Indian Tribal Trust Fund receipts,Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,450,452,-31
"Indian irrigation projects, O&M and power projects",Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,450,452,-114
"Alaska Resupply Program, NRD",Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,450,452,-2
Operations and Maintenance of Quarters,Mandatory,Offsetting receipts,Department of the Interior                                      ,Bureau of Indian Affairs and Bureau of Indian Education         ,450,452,-6
Gulf Coast Restoration Trust Fund                               ,Mandatory,Other Spending,Department of the Treasury                                      ,Fiscal Service                                                  ,450,452,22
Appalachian Regional Comm.,Mandatory,Offsetting receipts,Appalachian Regional Commission                                 ,Appalachian Regional Commission                                 ,450,452,-4
Appalachian Regional Commission,Mandatory,Offsetting receipts,Appalachian Regional Commission                                 ,Appalachian Regional Commission                                 ,450,452,-4
National Institute on Aging (Health research),Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,"1,220"
Miscellaneous Trust Funds                                       ,Mandatory,Other Spending,Appalachian Regional Commission                                 ,Appalachian Regional Commission                                 ,450,452,7
Gulf Coast Ecosystem Restoration Council                        ,Mandatory,Other Spending,Gulf Coast Ecosystem Restoration Council,Gulf Coast Ecosystem Restoration Council,450,452,0
National Institute on Deafness and Other Communicative Disorders (Health,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,412
National Institute on Drug Abuse,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,990
National Institutes of Health management fund,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,-57
National Library of Medicine (Health research),Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,326
National pre-disaster mitigation fund                           ,Discretionary,Nondefense,Department of Homeland Security                                 ,Federal Emergency Management Agency                             ,450,453,50
National recreation and preservation,Discretionary,Nondefense,Department of the Interior                                      ,National Park Service,300,303,65
National Technical Institute for the Deaf,Discretionary,Nondefense,Department of Education                                         ,Office of Special Education and Rehabilitative Services,500,502,70
National wildlife refuge fund,Discretionary,Nondefense,Department of the Interior                                      ,United States Fish and Wildlife Service,800,806,13
Native American housing block grant,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Public and Indian Housing Programs,600,604,730
Native american veteran housing loan program account,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Benefits Programs,700,704,2
Native Hawaiian Housing Block Grant,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Public and Indian Housing Programs,600,604,11
Natural Resource Damage Assessment Fund                         ,Discretionary,Nondefense,Department of the Interior                                      ,Department-Wide Programs                                        ,300,302,8
Naval petroleum and oil shale reserves,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,270,271,22
Neotropical migratory bird conservation                         ,Discretionary,Nondefense,Department of the Interior                                      ,United States Fish and Wildlife Service,300,302,4
Next generation high-speed rail,Discretionary,Nondefense,Department of Transportation                                    ,Federal Railroad Administration,400,401,0
Disaster assistance direct loan program account,Mandatory,Other Spending,Department of Homeland Security                                 ,Federal Emergency Management Agency                             ,450,453,78
NIH Alcohol,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,445
Non-defense environmental cleanup                               ,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,270,271,246
"Nonproliferation, antiterrorism, demining, and related programs",Discretionary,Nondefense,International Assistance Programs                               ,International Security Assistance,150,152,646
National Flood Insurance Fund,Mandatory,Other Spending,Department of Homeland Security                                 ,Federal Emergency Management Agency                             ,450,453,-735
Nonrecurring expenses fund                                      ,Discretionary,Nondefense,Department of Health and Human Services                         ,Departmental Management,550,551,484
Disaster loans program account,Mandatory,Other Spending,Small Business Administration                                   ,Small Business Administration,450,453,-113
Disaster loan fund liquidating account,Mandatory,Other Spending,Small Business Administration                                   ,Small Business Administration,450,453,-1
North American Development Bank,Discretionary,Nondefense,International Assistance Programs                               ,Multilateral Assistance,150,151,10
Payment to Issuer of Qualified Zone Academy Bonds               ,Mandatory,Other Spending,Department of the Treasury                                      ,Internal Revenue Service,500,501,49
Payment to Issuer of Qualified School Construction Bonds        ,Mandatory,Other Spending,Department of the Treasury                                      ,Internal Revenue Service,500,501,703
North American wetlands conservation fund,Discretionary,Nondefense,Department of the Interior                                      ,United States Fish and Wildlife Service,300,302,40
Northeast corridor improvement program,Discretionary,Nondefense,Department of Transportation                                    ,Federal Railroad Administration,400,401,5
Northeast home heating oil reserve,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,270,274,9
Northern Border Regional Commission                             ,Discretionary,Nondefense,Northern Border Regional Commission                             ,Northern Border Regional Commission                             ,450,452,4
Nuclear Energy                                                  ,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,270,271,862
Nuclear waste disposal,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,270,271,1
Nutrition programs administration,Discretionary,Nondefense,Department of Agriculture                                       ,Food and Nutrition Service,600,605,150
Ocean Energy Management                                         ,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Ocean Energy Management                               ,300,302,86
Office for Civil Rights,Discretionary,Nondefense,Department of Health and Human Services                         ,Departmental Management,750,751,39
Office for Civil Rights,Discretionary,Nondefense,Department of Education                                         ,Departmental Management,750,751,106
Office of Advocacy                                              ,Discretionary,Nondefense,Small Business Administration                                   ,Small Business Administration,370,376,9
Indian Education Scholarship Holding Fund                       ,Mandatory,Other Spending,Department of the Interior                                      ,Departmental Offices                                            ,500,502,22
Payment Where American Opportunity Credit Exceeds Liability for ,Mandatory,Other Spending,Department of the Treasury                                      ,Internal Revenue Service,500,502,"4,171"
Office of Biometric Identity Management,Discretionary,Nondefense,Department of Homeland Security                                 ,National Protection and Programs Directorate                    ,750,751,259
Office of Budget and Program Analysis                           ,Discretionary,Nondefense,Department of Agriculture                                       ,Executive Operations,350,352,9
Student financial assistance,Mandatory,Other Spending,Department of Education                                         ,Office of Federal Student Aid                                   ,500,502,"5,339"
Office of Civil Rights,Discretionary,Nondefense,Department of Transportation                                    ,Office of the Secretary,400,407,10
Higher education,Mandatory,Other Spending,Department of Education                                         ,Office of Postsecondary Education,500,502,317
Office of Civil Rights                                          ,Discretionary,Nondefense,Department of Agriculture                                       ,Office of Civil Rights,350,352,24
Student aid administration,Mandatory,Other Spending,Department of Education                                         ,Office of Federal Student Aid                                   ,500,502,"1,669"
TEACH Grant Program Account                                     ,Mandatory,Other Spending,Department of Education                                         ,Office of Federal Student Aid                                   ,500,502,12
Federal family education loan liquidating account,Mandatory,Other Spending,Department of Education                                         ,Office of Federal Student Aid                                   ,500,502,-291
Federal family education loan program account,Mandatory,Other Spending,Department of Education                                         ,Office of Federal Student Aid                                   ,500,502,"-1,075"
Office of Congressional Accessibility Services                  ,Discretionary,Nondefense,Legislative Branch                                              ,Joint Items,800,801,1
College housing and academic facilities loans program account,Mandatory,Other Spending,Department of Education                                         ,Office of Postsecondary Education,500,502,4
College housing and academic facilities loans liquidating accoun,Mandatory,Other Spending,Department of Education                                         ,Office of Postsecondary Education,500,502,-22
Federal Direct Student Loan Program Account                     ,Mandatory,Other Spending,Department of Education                                         ,Office of Federal Student Aid                                   ,500,502,"-3,274"
Office of Disability Employment Policy,Discretionary,Nondefense,Department of Labor                                             ,Departmental Management,500,505,38
Office of Health Affairs                                        ,Discretionary,Nondefense,Department of Homeland Security                                 ,National Protection and Programs Directorate                    ,450,453,128
Office of Inspector General,Discretionary,Nondefense,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,250,252,37
Federal student loan reserve fund,Mandatory,Other Spending,Department of Education                                         ,Office of Federal Student Aid                                   ,500,502,-89
Student Financial Assistance Debt Collection                    ,Mandatory,Offsetting receipts,Department of Education                                         ,Office of Federal Student Aid                                   ,500,502,-10
Student Financial Assistance Debt Collection                    ,Mandatory,Other Spending,Department of Education                                         ,Office of Federal Student Aid                                   ,500,502,3
"Repayment of loans, capital contributions, higher ed. activities",Mandatory,Offsetting receipts,Department of Education                                         ,Department of Education,500,502,-1
Barry Goldwater Scholarship and Excellence in Education Foundati,Mandatory,Other Spending,Barry Goldwater Scholarship and Excellence in Education Foundati,Barry Goldwater Scholarship and Excellence in Education Foundati,500,502,3
Office of Inspector General,Discretionary,Nondefense,Nuclear Regulatory Commission                                   ,Nuclear Regulatory Commission                                   ,270,276,2
Harry S Truman Memorial Scholarship Trust Fund                  ,Mandatory,Other Spending,Harry S Truman Scholarship Foundation                           ,Harry S Truman Scholarship Foundation                           ,500,502,3
Harry S. Truman Scholarship Foundation,Mandatory,Offsetting receipts,Harry S Truman Scholarship Foundation                           ,Harry S Truman Scholarship Foundation                           ,500,502,-1
Office of Inspector General,Discretionary,Nondefense,Small Business Administration                                   ,Small Business Administration,370,376,20
James Madison Memorial Fellowship Trust Fund                    ,Mandatory,Other Spending,James Madison Memorial Fellowship Foundation                    ,James Madison Memorial Fellowship Foundation                    ,500,502,2
Office of Inspector General,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Management and Administration,450,451,120
Morris K. Udall and Stewart L. Udall Foundation                 ,Mandatory,Other Spending,Morris K. Udall and Stewart L. Udall Foundation                 ,Morris K. Udall and Stewart L. Udall Foundation                 ,500,502,2
Morris K. Udall Scholarship Fund,Mandatory,Offsetting receipts,Morris K. Udall and Stewart L. Udall Foundation                 ,Morris K. Udall and Stewart L. Udall Foundation                 ,500,502,-2
Office of Inspector General,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Departmental Administration,700,705,136
Office of Inspector General,Discretionary,Nondefense,Department of Justice                                           ,General Administration,750,751,93
Gift and trust fund accounts,Mandatory,Other Spending,Legislative Branch                                              ,Library of Congress,500,503,10
Office of Inspector General,Discretionary,Nondefense,Department of the Treasury                                      ,Departmental Offices,800,803,36
Office of Inspector General,Discretionary,Nondefense,General Services Administration                                 ,General Activities,800,804,65
Office of Inspector General,Discretionary,Nondefense,Office of Personnel Management                                  ,Office of Personnel Management,800,805,4
Office of Inspector General                                     ,Discretionary,Nondefense,National Science Foundation                                     ,National Science Foundation,250,251,14
Office of Inspector General                                     ,Discretionary,Nondefense,Environmental Protection Agency                                 ,Environmental Protection Agency,300,304,43
Office of Inspector General                                     ,Discretionary,Nondefense,Department of Agriculture                                       ,Office of Inspector General                                     ,350,352,89
Office of Inspector General                                     ,Discretionary,Nondefense,Postal Service                                                  ,Postal Service                                                  ,370,372,249
Office of Inspector General                                     ,Discretionary,Nondefense,Department of Labor                                             ,Departmental Management,500,505,79
"Science, space, and technology education trust fund",Mandatory,Other Spending,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,500,503,1
Office of Inspector General                                     ,Discretionary,Nondefense,Corporation for National and Community Service                  ,Corporation for National and Community Service                  ,500,506,5
Office of Inspector General                                     ,Discretionary,Nondefense,Department of Health and Human Services                         ,Office of the Inspector General,550,551,84
Office of Inspector General                                     ,Discretionary,Nondefense,Social Security Administration                                  ,Social Security Administration,600,609,30
Office of Inspector General                                     ,Discretionary,Nondefense,Department of Education                                         ,Departmental Management,750,751,59
Office of Justice Programs Rescission,Discretionary,Nondefense,Department of Justice                                           ,Office of Justice Programs,750,754,-8
Office of Lead Hazard Control and Healthy Homes                 ,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Management and Administration,450,451,7
"Gifts and Donations, National Endowment for the Arts            ",Mandatory,Other Spending,National Endowment for the Arts                                 ,National Endowment for the Arts                                 ,500,503,1
"Gifts and Donations, National Endowment for the Humanities      ",Mandatory,Other Spending,National Endowment for the Humanities                           ,National Endowment for the Humanities                           ,500,503,1
Office of Museum and Library Services: Grants and Administration,Discretionary,Nondefense,Institute of Museum and Library Services                        ,Institute of Museum and Library Services                        ,500,503,224
Office of Science and Technology Policy                         ,Discretionary,Nondefense,Executive Office of the President                               ,Office of Science and Technology Policy,800,802,6
Office of Senate Legal Counsel,Discretionary,Nondefense,Legislative Branch                                              ,Senate,800,801,1
"Office of Superintendent of Documents, Salaries and Expenses    ",Discretionary,Nondefense,Legislative Branch                                              ,Government Publishing Office                                    ,800,808,31
Office of Terrorism and Financial Intelligence                  ,Discretionary,Nondefense,Department of the Treasury                                      ,Departmental Offices,800,803,116
Office of the Assistant Secretary of the Army for Civil Works,Discretionary,Nondefense,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,300,301,5
TAA Community College and Career Training Grant Fund            ,Mandatory,Other Spending,Department of Labor                                             ,Employment and Training Administration,500,504,430
Federal unemployment benefits and allowances,Mandatory,Other Spending,Department of Labor                                             ,Employment and Training Administration,500,504,254
High Tech Administration,Mandatory,Other Spending,Department of Labor                                             ,Employment and Training Administration,500,504,13
High Tech Job Training Demonstration Projects,Mandatory,Other Spending,Department of Labor                                             ,Employment and Training Administration,500,504,130
Office of the Attending Physician,Discretionary,Nondefense,Legislative Branch                                              ,Joint Items,800,801,4
Office of the Chief Economist                                   ,Discretionary,Nondefense,Department of Agriculture                                       ,Executive Operations,350,352,18
Office of the Chief Financial Officer                           ,Discretionary,Nondefense,Department of Agriculture                                       ,Office of Chief Financial Officer                               ,350,352,6
Office of the Chief Information Officer                         ,Discretionary,Nondefense,Department of Agriculture                                       ,Office of Chief Information Officer                             ,350,352,45
Office of the Chief Information Officer                         ,Discretionary,Nondefense,Department of Homeland Security                                 ,Departmental Management and Operations                          ,750,751,361
Office of the Director (Health research),Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,"1,383"
Office of the General Counsel,Discretionary,Nondefense,Department of Agriculture                                       ,Office of the General Counsel,350,352,48
Office of the Inspector General,Discretionary,Nondefense,Department of State                                             ,Administration of Foreign Affairs,150,153,121
Office of the Inspector General,Discretionary,Nondefense,Department of Energy                                            ,Departmental Administration,270,276,45
Office of the Inspector General,Discretionary,Nondefense,Department of Commerce                                          ,Departmental Management,370,376,37
Working capital fund,Mandatory,Other Spending,Department of Labor                                             ,Departmental Management,500,505,3
H-1 B and L Fraud Prevention and Detection                      ,Mandatory,Other Spending,Department of Labor                                             ,Wage and Hour Division                                          ,500,505,42
Office of the Inspector General                                 ,Discretionary,Nondefense,Federal Deposit Insurance Corporation                           ,FDIC Office of Inspector General                                ,370,373,30
Office of the Inspector General - NARA                          ,Discretionary,Nondefense,National Archives and Records Administration                    ,National Archives and Records Administration                    ,800,804,4
Office of the Legislative Counsel of the Senate,Discretionary,Nondefense,Legislative Branch                                              ,Senate,800,801,5
Office of the National Coordinator for Health Information Techno,Discretionary,Nondefense,Department of Health and Human Services                         ,Departmental Management,550,551,105
Office of the National Science Board,Discretionary,Nondefense,National Science Foundation                                     ,National Science Foundation,250,251,4
Aging and Disability Services Programs                          ,Mandatory,Other Spending,Department of Health and Human Services                         ,Administration for Community Living                             ,500,506,24
Office of the Secretary,Discretionary,Nondefense,Department of Agriculture                                       ,Office of the Secretary,350,352,55
Promoting Safe and Stable Families                              ,Mandatory,Other Spending,Department of Health and Human Services                         ,Administration for Children and Families,500,506,431
Social services block grant,Mandatory,Other Spending,Department of Health and Human Services                         ,Administration for Children and Families,500,506,"1,715"
"Offsetting receipts, VA medical",Discretionary,Nondefense,Department of Veterans Affairs                                  ,Veterans Health Administration                                  ,700,703,"-3,590"
Offshore Safety and Environmental Enforcement,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Safety and Environmental Enforcement                  ,300,302,80
