Title,DiscMand,MajorSpendingCategory,Agency,Bureau,Func,SubFunc,O2016,DiscMandAgg,MajSpendAgg,FuncAgg,,AgencyAgg,BureauAgg
National Institutes of Health management fund,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,-57,1195950,608399,521222,,,
National Library of Medicine (Health research),Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,326,1195950,608399,521222,,,
National pre-disaster mitigation fund                           ,Discretionary,Nondefense,Department of Homeland Security                                 ,Federal Emergency Management Agency                             ,450,453,50,1195950,608399,20574,,,
National recreation and preservation,Discretionary,Nondefense,Department of the Interior                                      ,National Park Service,300,303,65,1195950,608399,40158,,,
National Technical Institute for the Deaf,Discretionary,Nondefense,Department of Education                                         ,Office of Special Education and Rehabilitative Services,500,502,70,1195950,608399,106339,,,
National wildlife refuge fund,Discretionary,Nondefense,Department of the Interior                                      ,United States Fish and Wildlife Service,800,806,13,1195950,608399,24551,,,
Native American housing block grant,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Public and Indian Housing Programs,600,604,730,1195950,608399,519426,,,
Native american veteran housing loan program account,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Benefits Programs,700,704,2,1195950,608399,179790,,,
Native Hawaiian Housing Block Grant,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Public and Indian Housing Programs,600,604,11,1195950,608399,519426,,,
Natural Resource Damage Assessment Fund                         ,Discretionary,Nondefense,Department of the Interior                                      ,Department-Wide Programs                                        ,300,302,8,1195950,608399,40158,,,
Naval petroleum and oil shale reserves,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,270,271,22,1195950,608399,4112,,,
Neotropical migratory bird conservation                         ,Discretionary,Nondefense,Department of the Interior                                      ,United States Fish and Wildlife Service,300,302,4,1195950,608399,40158,,,
Next generation high-speed rail,Discretionary,Nondefense,Department of Transportation                                    ,Federal Railroad Administration,400,401,0,1195950,608399,90703,,,
Disaster assistance direct loan program account,Mandatory,Other Spending,Department of Homeland Security                                 ,Federal Emergency Management Agency                             ,450,453,78,2448710,710521,20574,,,
NIH Alcohol,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,445,1195950,608399,521222,,,
Non-defense environmental cleanup                               ,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,270,271,246,1195950,608399,4112,,,
"Nonproliferation, antiterrorism, demining, and related programs",Discretionary,Nondefense,International Assistance Programs                               ,International Security Assistance,150,152,646,1195950,608399,46041,,,
National Flood Insurance Fund,Mandatory,Other Spending,Department of Homeland Security                                 ,Federal Emergency Management Agency                             ,450,453,-735,2448710,710521,20574,,,
Nonrecurring expenses fund                                      ,Discretionary,Nondefense,Department of Health and Human Services                         ,Departmental Management,550,551,484,1195950,608399,521222,,,
Disaster loans program account,Mandatory,Other Spending,Small Business Administration                                   ,Small Business Administration,450,453,-113,2448710,710521,20574,,,
Disaster loan fund liquidating account,Mandatory,Other Spending,Small Business Administration                                   ,Small Business Administration,450,453,-1,2448710,710521,20574,,,
North American Development Bank,Discretionary,Nondefense,International Assistance Programs                               ,Multilateral Assistance,150,151,10,1195950,608399,46041,,,
Payment to Issuer of Qualified Zone Academy Bonds               ,Mandatory,Other Spending,Department of the Treasury                                      ,Internal Revenue Service,500,501,49,2448710,710521,106339,,,
Payment to Issuer of Qualified School Construction Bonds        ,Mandatory,Other Spending,Department of the Treasury                                      ,Internal Revenue Service,500,501,703,2448710,710521,106339,,,
North American wetlands conservation fund,Discretionary,Nondefense,Department of the Interior                                      ,United States Fish and Wildlife Service,300,302,40,1195950,608399,40158,,,
Northeast corridor improvement program,Discretionary,Nondefense,Department of Transportation                                    ,Federal Railroad Administration,400,401,5,1195950,608399,90703,,,
Northeast home heating oil reserve,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,270,274,9,1195950,608399,4112,,,
Northern Border Regional Commission                             ,Discretionary,Nondefense,Northern Border Regional Commission                             ,Northern Border Regional Commission                             ,450,452,4,1195950,608399,20574,,,
Nuclear Energy                                                  ,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,270,271,862,1195950,608399,4112,,,
Nuclear waste disposal,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,270,271,1,1195950,608399,4112,,,
Nutrition programs administration,Discretionary,Nondefense,Department of Agriculture                                       ,Food and Nutrition Service,600,605,150,1195950,608399,519426,,,
Ocean Energy Management                                         ,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Ocean Energy Management                               ,300,302,86,1195950,608399,40158,,,
Office for Civil Rights,Discretionary,Nondefense,Department of Health and Human Services                         ,Departmental Management,750,751,39,1195950,608399,57711,,,
Office for Civil Rights,Discretionary,Nondefense,Department of Education                                         ,Departmental Management,750,751,106,1195950,608399,57711,,,
Office of Advocacy                                              ,Discretionary,Nondefense,Small Business Administration                                   ,Small Business Administration,370,376,9,1195950,608399,-31246,,,
Indian Education Scholarship Holding Fund                       ,Mandatory,Other Spending,Department of the Interior                                      ,Departmental Offices                                            ,500,502,22,2448710,710521,106339,,,
Payment Where American Opportunity Credit Exceeds Liability for ,Mandatory,Other Spending,Department of the Treasury                                      ,Internal Revenue Service,500,502,4171,2448710,710521,106339,,,
Office of Biometric Identity Management,Discretionary,Nondefense,Department of Homeland Security                                 ,National Protection and Programs Directorate                    ,750,751,259,1195950,608399,57711,,,
Office of Budget and Program Analysis                           ,Discretionary,Nondefense,Department of Agriculture                                       ,Executive Operations,350,352,9,1195950,608399,20992,,,
Student financial assistance,Mandatory,Other Spending,Department of Education                                         ,Office of Federal Student Aid                                   ,500,502,5339,2448710,710521,106339,,,
Office of Civil Rights,Discretionary,Nondefense,Department of Transportation                                    ,Office of the Secretary,400,407,10,1195950,608399,90703,,,
Higher education,Mandatory,Other Spending,Department of Education                                         ,Office of Postsecondary Education,500,502,317,2448710,710521,106339,,,
Office of Civil Rights                                          ,Discretionary,Nondefense,Department of Agriculture                                       ,Office of Civil Rights,350,352,24,1195950,608399,20992,,,
Student aid administration,Mandatory,Other Spending,Department of Education                                         ,Office of Federal Student Aid                                   ,500,502,1669,2448710,710521,106339,,,
TEACH Grant Program Account                                     ,Mandatory,Other Spending,Department of Education                                         ,Office of Federal Student Aid                                   ,500,502,12,2448710,710521,106339,,,
Federal family education loan liquidating account,Mandatory,Other Spending,Department of Education                                         ,Office of Federal Student Aid                                   ,500,502,-291,2448710,710521,106339,,,
Federal family education loan program account,Mandatory,Other Spending,Department of Education                                         ,Office of Federal Student Aid                                   ,500,502,-1075,2448710,710521,106339,,,
Office of Congressional Accessibility Services                  ,Discretionary,Nondefense,Legislative Branch                                              ,Joint Items,800,801,1,1195950,608399,24551,,,
College housing and academic facilities loans program account,Mandatory,Other Spending,Department of Education                                         ,Office of Postsecondary Education,500,502,4,2448710,710521,106339,,,
College housing and academic facilities loans liquidating accoun,Mandatory,Other Spending,Department of Education                                         ,Office of Postsecondary Education,500,502,-22,2448710,710521,106339,,,
Federal Direct Student Loan Program Account                     ,Mandatory,Other Spending,Department of Education                                         ,Office of Federal Student Aid                                   ,500,502,-3274,2448710,710521,106339,,,
Office of Disability Employment Policy,Discretionary,Nondefense,Department of Labor                                             ,Departmental Management,500,505,38,1195950,608399,106339,,,
Office of Health Affairs                                        ,Discretionary,Nondefense,Department of Homeland Security                                 ,National Protection and Programs Directorate                    ,450,453,128,1195950,608399,20574,,,
Office of Inspector General,Discretionary,Nondefense,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,250,252,37,1195950,608399,30492,,,
Federal student loan reserve fund,Mandatory,Other Spending,Department of Education                                         ,Office of Federal Student Aid                                   ,500,502,-89,2448710,710521,106339,,,
Student Financial Assistance Debt Collection                    ,Mandatory,Offsetting receipts,Department of Education                                         ,Office of Federal Student Aid                                   ,500,502,-10,2448710,-238286,106339,,,
Student Financial Assistance Debt Collection                    ,Mandatory,Other Spending,Department of Education                                         ,Office of Federal Student Aid                                   ,500,502,3,2448710,710521,106339,,,
"Repayment of loans, capital contributions, higher ed. activities",Mandatory,Offsetting receipts,Department of Education                                         ,Department of Education,500,502,-1,2448710,-238286,106339,,,
Barry Goldwater Scholarship and Excellence in Education Foundati,Mandatory,Other Spending,Barry Goldwater Scholarship and Excellence in Education Foundati,Barry Goldwater Scholarship and Excellence in Education Foundati,500,502,3,2448710,710521,106339,,,
Office of Inspector General,Discretionary,Nondefense,Nuclear Regulatory Commission                                   ,Nuclear Regulatory Commission                                   ,270,276,2,1195950,608399,4112,,,
Harry S Truman Memorial Scholarship Trust Fund                  ,Mandatory,Other Spending,Harry S Truman Scholarship Foundation                           ,Harry S Truman Scholarship Foundation                           ,500,502,3,2448710,710521,106339,,,
Harry S. Truman Scholarship Foundation,Mandatory,Offsetting receipts,Harry S Truman Scholarship Foundation                           ,Harry S Truman Scholarship Foundation                           ,500,502,-1,2448710,-238286,106339,,,
Office of Inspector General,Discretionary,Nondefense,Small Business Administration                                   ,Small Business Administration,370,376,20,1195950,608399,-31246,,,
James Madison Memorial Fellowship Trust Fund                    ,Mandatory,Other Spending,James Madison Memorial Fellowship Foundation                    ,James Madison Memorial Fellowship Foundation                    ,500,502,2,2448710,710521,106339,,,
Office of Inspector General,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Management and Administration,450,451,120,1195950,608399,20574,,,
Morris K. Udall and Stewart L. Udall Foundation                 ,Mandatory,Other Spending,Morris K. Udall and Stewart L. Udall Foundation                 ,Morris K. Udall and Stewart L. Udall Foundation                 ,500,502,2,2448710,710521,106339,,,
Morris K. Udall Scholarship Fund,Mandatory,Offsetting receipts,Morris K. Udall and Stewart L. Udall Foundation                 ,Morris K. Udall and Stewart L. Udall Foundation                 ,500,502,-2,2448710,-238286,106339,,,
Office of Inspector General,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Departmental Administration,700,705,136,1195950,608399,179790,,,
Office of Inspector General,Discretionary,Nondefense,Department of Justice                                           ,General Administration,750,751,93,1195950,608399,57711,,,
Gift and trust fund accounts,Mandatory,Other Spending,Legislative Branch                                              ,Library of Congress,500,503,10,2448710,710521,106339,,,
Office of Inspector General,Discretionary,Nondefense,Department of the Treasury                                      ,Departmental Offices,800,803,36,1195950,608399,24551,,,
Office of Inspector General,Discretionary,Nondefense,General Services Administration                                 ,General Activities,800,804,65,1195950,608399,24551,,,
Office of Inspector General,Discretionary,Nondefense,Office of Personnel Management                                  ,Office of Personnel Management,800,805,4,1195950,608399,24551,,,
Office of Inspector General                                     ,Discretionary,Nondefense,National Science Foundation                                     ,National Science Foundation,250,251,14,1195950,608399,30492,,,
Office of Inspector General                                     ,Discretionary,Nondefense,Environmental Protection Agency                                 ,Environmental Protection Agency,300,304,43,1195950,608399,40158,,,
Office of Inspector General                                     ,Discretionary,Nondefense,Department of Agriculture                                       ,Office of Inspector General                                     ,350,352,89,1195950,608399,20992,,,
Office of Inspector General                                     ,Discretionary,Nondefense,Postal Service                                                  ,Postal Service                                                  ,370,372,249,1195950,608399,-31246,,,
Office of Inspector General                                     ,Discretionary,Nondefense,Department of Labor                                             ,Departmental Management,500,505,79,1195950,608399,106339,,,
"Science, space, and technology education trust fund",Mandatory,Other Spending,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,500,503,1,2448710,710521,106339,,,
Office of Inspector General                                     ,Discretionary,Nondefense,Corporation for National and Community Service                  ,Corporation for National and Community Service                  ,500,506,5,1195950,608399,106339,,,
Office of Inspector General                                     ,Discretionary,Nondefense,Department of Health and Human Services                         ,Office of the Inspector General,550,551,84,1195950,608399,521222,,,
Office of Inspector General                                     ,Discretionary,Nondefense,Social Security Administration                                  ,Social Security Administration,600,609,30,1195950,608399,519426,,,
Office of Inspector General                                     ,Discretionary,Nondefense,Department of Education                                         ,Departmental Management,750,751,59,1195950,608399,57711,,,
Office of Justice Programs Rescission,Discretionary,Nondefense,Department of Justice                                           ,Office of Justice Programs,750,754,-8,1195950,608399,57711,,,
Office of Lead Hazard Control and Healthy Homes                 ,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Management and Administration,450,451,7,1195950,608399,20574,,,
"Gifts and Donations, National Endowment for the Arts            ",Mandatory,Other Spending,National Endowment for the Arts                                 ,National Endowment for the Arts                                 ,500,503,1,2448710,710521,106339,,,
"Gifts and Donations, National Endowment for the Humanities      ",Mandatory,Other Spending,National Endowment for the Humanities                           ,National Endowment for the Humanities                           ,500,503,1,2448710,710521,106339,,,
Office of Museum and Library Services: Grants and Administration,Discretionary,Nondefense,Institute of Museum and Library Services                        ,Institute of Museum and Library Services                        ,500,503,224,1195950,608399,106339,,,
Office of Science and Technology Policy                         ,Discretionary,Nondefense,Executive Office of the President                               ,Office of Science and Technology Policy,800,802,6,1195950,608399,24551,,,
Office of Senate Legal Counsel,Discretionary,Nondefense,Legislative Branch                                              ,Senate,800,801,1,1195950,608399,24551,,,
"Office of Superintendent of Documents, Salaries and Expenses    ",Discretionary,Nondefense,Legislative Branch                                              ,Government Publishing Office                                    ,800,808,31,1195950,608399,24551,,,
Office of Terrorism and Financial Intelligence                  ,Discretionary,Nondefense,Department of the Treasury                                      ,Departmental Offices,800,803,116,1195950,608399,24551,,,
Office of the Assistant Secretary of the Army for Civil Works,Discretionary,Nondefense,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,300,301,5,1195950,608399,40158,,,
TAA Community College and Career Training Grant Fund            ,Mandatory,Other Spending,Department of Labor                                             ,Employment and Training Administration,500,504,430,2448710,710521,106339,,,
Federal unemployment benefits and allowances,Mandatory,Other Spending,Department of Labor                                             ,Employment and Training Administration,500,504,254,2448710,710521,106339,,,
High Tech Administration,Mandatory,Other Spending,Department of Labor                                             ,Employment and Training Administration,500,504,13,2448710,710521,106339,,,
High Tech Job Training Demonstration Projects,Mandatory,Other Spending,Department of Labor                                             ,Employment and Training Administration,500,504,130,2448710,710521,106339,,,
Office of the Attending Physician,Discretionary,Nondefense,Legislative Branch                                              ,Joint Items,800,801,4,1195950,608399,24551,,,
Office of the Chief Economist                                   ,Discretionary,Nondefense,Department of Agriculture                                       ,Executive Operations,350,352,18,1195950,608399,20992,,,
Office of the Chief Financial Officer                           ,Discretionary,Nondefense,Department of Agriculture                                       ,Office of Chief Financial Officer                               ,350,352,6,1195950,608399,20992,,,
Office of the Chief Information Officer                         ,Discretionary,Nondefense,Department of Agriculture                                       ,Office of Chief Information Officer                             ,350,352,45,1195950,608399,20992,,,
Office of the Chief Information Officer                         ,Discretionary,Nondefense,Department of Homeland Security                                 ,Departmental Management and Operations                          ,750,751,361,1195950,608399,57711,,,
Office of the Director (Health research),Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,1383,1195950,608399,521222,,,
Office of the General Counsel,Discretionary,Nondefense,Department of Agriculture                                       ,Office of the General Counsel,350,352,48,1195950,608399,20992,,,
Office of the Inspector General,Discretionary,Nondefense,Department of State                                             ,Administration of Foreign Affairs,150,153,121,1195950,608399,46041,,,
Office of the Inspector General,Discretionary,Nondefense,Department of Energy                                            ,Departmental Administration,270,276,45,1195950,608399,4112,,,
Office of the Inspector General,Discretionary,Nondefense,Department of Commerce                                          ,Departmental Management,370,376,37,1195950,608399,-31246,,,
Working capital fund,Mandatory,Other Spending,Department of Labor                                             ,Departmental Management,500,505,3,2448710,710521,106339,,,
H-1 B and L Fraud Prevention and Detection                      ,Mandatory,Other Spending,Department of Labor                                             ,Wage and Hour Division                                          ,500,505,42,2448710,710521,106339,,,
Office of the Inspector General                                 ,Discretionary,Nondefense,Federal Deposit Insurance Corporation                           ,FDIC Office of Inspector General                                ,370,373,30,1195950,608399,-31246,,,
Office of the Inspector General - NARA                          ,Discretionary,Nondefense,National Archives and Records Administration                    ,National Archives and Records Administration                    ,800,804,4,1195950,608399,24551,,,
Office of the Legislative Counsel of the Senate,Discretionary,Nondefense,Legislative Branch                                              ,Senate,800,801,5,1195950,608399,24551,,,
Office of the National Coordinator for Health Information Techno,Discretionary,Nondefense,Department of Health and Human Services                         ,Departmental Management,550,551,105,1195950,608399,521222,,,
Office of the National Science Board,Discretionary,Nondefense,National Science Foundation                                     ,National Science Foundation,250,251,4,1195950,608399,30492,,,
Aging and Disability Services Programs                          ,Mandatory,Other Spending,Department of Health and Human Services                         ,Administration for Community Living                             ,500,506,24,2448710,710521,106339,,,
Office of the Secretary,Discretionary,Nondefense,Department of Agriculture                                       ,Office of the Secretary,350,352,55,1195950,608399,20992,,,
Promoting Safe and Stable Families                              ,Mandatory,Other Spending,Department of Health and Human Services                         ,Administration for Children and Families,500,506,431,2448710,710521,106339,,,
Social services block grant,Mandatory,Other Spending,Department of Health and Human Services                         ,Administration for Children and Families,500,506,1715,2448710,710521,106339,,,
"Offsetting receipts, VA medical",Discretionary,Nondefense,Department of Veterans Affairs                                  ,Veterans Health Administration                                  ,700,703,-3590,1195950,608399,179790,,,
Offshore Safety and Environmental Enforcement,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Safety and Environmental Enforcement                  ,300,302,80,1195950,608399,40158,,,
Rehabilitation Services                                         ,Mandatory,Other Spending,Department of Education                                         ,Office of Special Education and Rehabilitative Services,500,506,2992,2448710,710521,106339,,,
Oil Spill Research                                              ,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Safety and Environmental Enforcement                  ,300,302,17,1195950,608399,40158,,,
Open World Leadership Center trust fund,Discretionary,Nondefense,Legislative Branch                                              ,Legislative Branch Boards and Commissions,150,154,6,1195950,608399,46041,,,
Operating expenses,Discretionary,Nondefense,Department of Homeland Security                                 ,United States Coast Guard,400,403,6627,1195950,608399,90703,,,
Operating Expenses,Discretionary,Nondefense,Department of Homeland Security                                 ,Office of the Inspector General,750,751,159,1195950,608399,57711,,,
Operating expenses,Discretionary,Nondefense,Executive Office of the President                               ,Executive Residence at the White House,800,802,13,1195950,608399,24551,,,
Operating expenses,Discretionary,Nondefense,National Archives and Records Administration                    ,National Archives and Records Administration                    ,800,804,352,1195950,608399,24551,,,
Gifts and Contributions                                         ,Mandatory,Other Spending,Corporation for National and Community Service                  ,Corporation for National and Community Service                  ,500,506,0,2448710,710521,106339,,,
Operating Expenses                                              ,Discretionary,Nondefense,Corporation for National and Community Service                  ,Corporation for National and Community Service                  ,500,506,730,1195950,608399,106339,,,
Operating Expenses                                              ,Discretionary,Nondefense,General Services Administration                                 ,General Activities,800,804,58,1195950,608399,24551,,,
Medicaid and Chip Payment and Access Commission                 ,Mandatory,Other Spending,Legislative Branch                                              ,Legislative Branch Boards and Commissions,550,551,1,2448710,710521,521222,,,
Supplemental Payments to UMWA Plans                             ,Mandatory,Other Spending,Department of the Interior                                      ,Office of Surface Mining Reclamation and Enforcement,550,551,151,2448710,710521,521222,,,
Abandoned mine reclamation fund,Mandatory,Other Spending,Department of the Interior                                      ,Office of Surface Mining Reclamation and Enforcement,550,551,29,2448710,710521,521222,,,
Payment Where Health Coverage Tax Credit Exceeds Liability for T,Mandatory,Other Spending,Department of the Treasury                                      ,Internal Revenue Service,550,551,6,2448710,710521,521222,,,
Refundable Premium Tax Credit and Cost Sharing Reductions       ,Mandatory,Other Spending,Department of the Treasury                                      ,Internal Revenue Service,550,551,36686,2448710,710521,521222,,,
Payment Where Small Business Health Insurance Tax Credit Exceeds,Mandatory,Other Spending,Department of the Treasury                                      ,Internal Revenue Service,550,551,114,2448710,710521,521222,,,
"Government payment for annuitants, employees health benefits",Mandatory,Other Spending,Office of Personnel Management                                  ,Office of Personnel Management,550,551,12139,2448710,710521,521222,,,
Postal Service retiree health benefits fund                     ,Mandatory,Other Spending,Office of Personnel Management                                  ,Office of Personnel Management,550,551,0,2448710,710521,521222,,,
Operating Expenses                                              ,Discretionary,Nondefense,United States Interagency Council on Homelessness               ,United States Interagency Council on Homelessness               ,800,808,4,1195950,608399,24551,,,
Employees and retired employees health benefits funds,Mandatory,Other Spending,Office of Personnel Management                                  ,Office of Personnel Management,550,551,129,2448710,710521,521222,,,
Operating expenses of the Agency for International Development,Discretionary,Nondefense,International Assistance Programs                               ,Agency for International Development,150,151,1260,1195950,608399,46041,,,
Health Insurance Consumer Information                           ,Mandatory,Other Spending,Department of Health and Human Services                         ,Departmental Management,550,551,1,2448710,710521,521222,,,
Rate Review Grants                                              ,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,550,551,38,2448710,710521,521222,,,
Pre-Existing Condition Insurance Plan Program                   ,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,550,551,3,2448710,710521,521222,,,
Early Retiree Reinsurance Program                               ,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,550,551,3,2448710,710521,521222,,,
Affordable Insurance Exchange Grants                            ,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,550,551,601,2448710,710521,521222,,,
Prevention and Public Health Fund                               ,Mandatory,Other Spending,Department of Health and Human Services                         ,Departmental Management,550,551,-62,2448710,710521,521222,,,
Pregnancy Assistance Fund                                       ,Mandatory,Other Spending,Department of Health and Human Services                         ,Departmental Management,550,551,25,2448710,710521,521222,,,
Consumer Operated and Oriented Plan Program Account             ,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,550,551,561,2448710,710521,521222,,,
Health Insurance Reform Implementation Fund                     ,Mandatory,Other Spending,Department of Health and Human Services                         ,Departmental Management,550,551,33,2448710,710521,521222,,,
"Operating expenses, Office of Inspector General",Discretionary,Nondefense,International Assistance Programs                               ,Agency for International Development,150,151,58,1195950,608399,46041,,,
Operating subsidy grants to the National Railroad Passenger Corp,Discretionary,Nondefense,Department of Transportation                                    ,Federal Railroad Administration,400,401,289,1195950,608399,90703,,,
Operation and maintenance,Discretionary,Nondefense,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,300,301,1918,1195950,608399,40158,,,
"Operation and maintenance, Southeastern Power Administration",Discretionary,Nondefense,Department of Energy                                            ,Power Marketing Administration,270,271,1,1195950,608399,4112,,,
"Operation and maintenance, Southwestern Power Administration",Discretionary,Nondefense,Department of Energy                                            ,Power Marketing Administration,270,271,12,1195950,608399,4112,,,
"Maternal, Infant, and Early Childhood Home Visiting Programs    ",Mandatory,Other Spending,Department of Health and Human Services                         ,Health Resources and Services Administration,550,551,423,2448710,710521,521222,,,
Operation of Indian programs,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Indian Affairs and Bureau of Indian Education         ,300,302,210,1195950,608399,40158,,,
Operation of Indian programs,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Indian Affairs and Bureau of Indian Education         ,450,452,1258,1195950,608399,20574,,,
Health resources and services,Mandatory,Other Spending,Department of Health and Human Services                         ,Health Resources and Services Administration,550,551,16,2448710,710521,521222,,,
Primary Health Care Access                                      ,Mandatory,Other Spending,Department of Health and Human Services                         ,Health Resources and Services Administration,550,551,3138,2448710,710521,521222,,,
Retirement pay and medical benefits for commissioned officers,Mandatory,Other Spending,Department of Health and Human Services                         ,Program Support Center,550,551,631,2448710,710521,521222,,,
Operation of Indian programs,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Indian Affairs and Bureau of Indian Education         ,500,501,841,1195950,608399,106339,,,
Indian Health Services,Mandatory,Other Spending,Department of Health and Human Services                         ,Indian Health Service                                           ,550,551,150,2448710,710521,521222,,,
Operation of the national park system,Discretionary,Nondefense,Department of the Interior                                      ,National Park Service,300,303,2320,1195950,608399,40158,,,
Indian health facilities,Mandatory,Other Spending,Department of Health and Human Services                         ,Indian Health Service                                           ,550,551,8,2448710,710521,521222,,,
Program management,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,550,551,126,2448710,710521,521222,,,
Grants to States for medicaid,Mandatory,Medicaid,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,550,551,370927,2448710,370927,521222,,,
Children's Health Insurance Fund                                ,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,550,551,12594,2448710,710521,521222,,,
State grants and demonstrations,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,550,551,555,2448710,710521,521222,,,
Center for Medicare and Medicaid Innovation                     ,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,550,551,1100,2448710,710521,521222,,,
Consumer Operated and Oriented Plan Program Contingency Fund    ,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,550,551,154,2448710,710521,521222,,,
Operational Expenses                                            ,Discretionary,Nondefense,Department of Transportation                                    ,Pipeline and Hazardous Materials Safety Administration          ,400,407,20,1195950,608399,90703,,,
CDC-Wide Activities and Program Support                         ,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Disease Control and Prevention,550,551,885,2448710,710521,521222,,,
Operations,Discretionary,Nondefense,Department of Transportation                                    ,Federal Aviation Administration,400,402,2554,1195950,608399,90703,,,
"Agency for Toxic Substances and Disease Registry, Toxic Substanc",Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Disease Control and Prevention,550,551,4,2448710,710521,521222,,,
World Trade Center Health Program Fund                          ,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Disease Control and Prevention,550,551,271,2448710,710521,521222,,,
Operations and administration,Discretionary,Nondefense,Department of Commerce                                          ,Bureau of Industry and Security,370,376,77,1195950,608399,-31246,,,
Substance abuse and mental health services,Mandatory,Other Spending,Department of Health and Human Services                         ,Substance Abuse and Mental Health Services Administration,550,551,34,2448710,710521,521222,,,
Operations and administration,Discretionary,Nondefense,Department of Commerce                                          ,International Trade Administration                              ,370,376,462,1195950,608399,-31246,,,
Child Enrollment Contingency Fund                               ,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,550,551,0,2448710,710521,521222,,,
Risk Adjustment Program Payments                                ,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,550,551,5084,2448710,710521,521222,,,
Transitional Reinsurance Program                                ,Mandatory,Other Spending,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,550,551,6716,2448710,710521,521222,,,
Operations and maintenance,Discretionary,Nondefense,Department of Transportation                                    ,Saint Lawrence Seaway Development Corporation,400,403,28,1195950,608399,90703,,,
Vaccine Injury Compensation Program Trust Fund                  ,Mandatory,Other Spending,Department of Health and Human Services                         ,Health Resources and Services Administration,550,551,246,2448710,710521,521222,,,
"Operations and maintenance, JFK Center for the Performing Arts",Discretionary,Nondefense,Smithsonian Institution                                         ,Smithsonian Institution                                         ,500,503,22,1195950,608399,106339,,,
Miscellaneous trust funds,Mandatory,Other Spending,Department of Health and Human Services                         ,Program Support Center,550,551,74,2448710,710521,521222,,,
"Contributions, Indian Health, HSA",Mandatory,Offsetting receipts,Department of Health and Human Services                         ,Department of Health and Human Services,550,551,-35,2448710,-238286,521222,,,
Premiums paid to UMWA combined benefits fund,Mandatory,Other Spending,United Mine Workers of America Benefit Funds                    ,United Mine Workers of America Benefit Funds                    ,550,551,24,2448710,710521,521222,,,
Department of Defense Medicare-Eligible retiree health care fund,Mandatory,Other Spending,Other Defense Civil Programs                                    ,Retiree Health Care,550,551,9867,2448710,710521,521222,,,
United Mine Workers of America 1992 Benefit Plan                ,Mandatory,Other Spending,United Mine Workers of America Benefit Funds                    ,United Mine Workers of America Benefit Funds                    ,550,551,89,2448710,710521,521222,,,
United Mine Workers of America Combined Benefit Fund            ,Mandatory,Other Spending,United Mine Workers of America Benefit Funds                    ,United Mine Workers of America Benefit Funds                    ,550,551,145,2448710,710521,521222,,,
